IDs_interactor_A	IDs_interactor_B	interactor_IDs_databases_A	interactor_IDs_databases_B	Taxid_interactor_A	Taxid_interactor_B	Publication_Identifiers	Confidence_values	Host_organisms	bait_prey_status_A	bait_prey_status_B	Interaction_detection_methods	Interaction_types	Interaction_identifiers	Expansion_methods	Features_interactor_A	Features_interactor_B	Identification_method_participant_A	Identification_method_participant_B	binding_region_A_start	binding_region_A_end	binding_region_B_start	binding_region_B_end	binding_region_A_type	binding_region_B_type	pair_id
P04326	P05952	uniprotkb	uniprotkb	11679	11685	10931842	0.44	-1	prey	bait	"psi-mi:""MI:0096""(pull down)"	"psi-mi:""MI:0407""(direct interaction)"	intact:EBI-7362739|mint:MINT-17238	-	binding-associated region:50-67(MINT-429377)	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"	50	67			binding_associated_region		P04326|P05952
P68563	P68563	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272229|mint:MINT-14105	-	tag:?-?(MINT-417099)	tag:?-?(MINT-417093)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P68563|P68563
P11158	P12848	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272298|mint:MINT-17088	-	tag:?-?(MINT-417063)	tag:?-?(MINT-417069)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P11158|P12848
P04303	P20995	uniprotkb	uniprotkb	10254	10249	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272281|mint:MINT-14846	-	tag:?-?(MINT-417342)	tag:?-?(MINT-417336)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P04303|P20995
P12923	P12923	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272370|mint:MINT-16615	-	tag:?-?(MINT-417356)	tag:?-?(MINT-417350)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P12923|P12923
P04305	P20995	uniprotkb	uniprotkb	10254	10249	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272403|mint:MINT-17583	-	tag:?-?(MINT-417012)	tag:?-?(MINT-417006)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P04305|P20995
P07242	P20995	uniprotkb	uniprotkb	10254	10249	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272452|mint:MINT-14297	-	tag:?-?(MINT-417242)	tag:?-?(MINT-417236)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P07242|P20995
P16715	P16715	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272469|mint:MINT-15016	-	tag:?-?(MINT-417221)	tag:?-?(MINT-417227)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P16715|P16715
P11158	P11158	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272501|mint:MINT-16594	-	tag:?-?(MINT-417207)	tag:?-?(MINT-417213)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P11158|P11158
P17374	P17374	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272518|mint:MINT-15726	-	tag:?-?(MINT-416969)	tag:?-?(MINT-416963)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P17374|P17374
P20991	P24765	uniprotkb	uniprotkb	10249	10254	10781095	0.37	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272586|mint:MINT-14359	-	tag:?-?(MINT-417294)	tag:?-?(MINT-417300)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P20991|P24765
P20989	P20994	uniprotkb	uniprotkb	10249	10249	10781095	0.37	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272639|mint:MINT-16315	-	tag:?-?(MINT-417279)	tag:?-?(MINT-417285)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P20989|P20994
P12848	P12848	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272553|mint:MINT-15117	-	tag:?-?(MINT-417055)	tag:?-?(MINT-417049)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P12848|P12848
